塔名,source_status,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,KG建造时期,始建年份,塔类型,平面形状,层数,建筑测量高度,保护级别,修建目的,环境类型,空间隶属,所属寺庙,描述,has_莲台,has_束腰,has_仿木作,has_铺作,has_券门,has_壶门,has_飞天,has_华盖,has_假窗,has_柱子,has_叠涩,has_斗拱,has_佛像,has_力士,has_龙柱,has_经幢柱,has_素面,has_地宫,has_平座,has_塔刹,has_修缮
妙峰寺南塔,observed_structured_record,辽宁省,葫芦岛市,绥中县,中京道,来州,,119.830975,40.297744,a-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9/e10)-f-h-d[type=d1]-g[num=1](e1-g12)-i,乾统,辽天祚乾统年间,1100s,密檐塔,6角形,5,10.27,2013年全国第七批重点文物保护单位,寺院标志,田园,双塔并立,妙峰寺,妙峰寺南塔为六角形实心五层密檐砖塔...塔身每面均于正中有一背承圆光的坐佛跌坐于莲台之上。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
辽阳白塔,observed_structured_record,辽宁省,辽阳市,白塔区,东京道,辽阳府,,123.168867,41.276853,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e9-e9/e10-e8-e10)-f-k-d[type=d1]-g[num=5](e1-g8)-h-j-h-i,辽,辽代中晚期,1161-1189,密檐塔,8角形,13,59.58,1988年被列为第三批全国重点文物保护单位,寺院标志,现代城镇,公园中心,广佑寺,辽阳白塔（又名广佑寺宝塔）为八角实心十三级密檐砖塔...于1963年、1972年、1982年对此塔进行过三次维修。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
广济寺塔,observed_structured_record,辽宁省,锦州市,古塔区,中京道,锦州,,121.119825,41.109108,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e9-e9/e18-e8-e18)-r-f-g[num=5](e1-g8)-k-h-d[type=d1]-g[num=5](e1-g8)-r-h-g[num=4](e1-g12)-i,,辽道宗清宁三年,1057,密檐塔,8角形,13,59.3,2001年被国务院公布为第五批全国重点文物保护单位,寺院标志,现代城镇,寺庙主塔,广济寺,广济寺塔（又名锦州古塔）为八角实心十三层密檐砖塔...1996年修缮。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
宝塔寺塔,observed_structured_record,辽宁省,朝阳市,朝阳县,东京道,懿州辖,,123.605947,42.6631,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e16-e6/e14-e9-e14/e18-e8-e18)-f-r-h-g[num=3](e1-g8)-d[type=d1]-g[num=2](e1-g12)-r-h-f-i,天赞,辽太宗天赞年间,1090s,密檐塔,8角形,13,25.64,1988年被定为省级文物保护单位,寺院标志,田园,寺庙主塔,宝塔寺,宝塔寺塔为八角实心十三层密檐砖塔...于2001年和2010年经过两次保护性修复。,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True
无垢净光舍利塔,observed_structured_record,辽宁省,沈阳市,皇姑区,东京道,沈州,,123.374292,41.832656,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e18-e8-e18)-f-b-h-i,,辽兴宗重熙十三年,1044,密檐塔,8角形,13,31.59,2013年第七批全国重点文物保护单位,供奉舍利,一般旷野,单体,无详载,无垢净光舍利塔（又名塔湾舍利塔）为八角空心十三层密檐砖塔...1985年曾对其进行过大规模的保护性修复。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
广胜寺塔,observed_structured_record,辽宁省,朝阳市,朝阳县,中京道,宜州,,121.119825,41.109108,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e14-e6/e9-e9-e9/e10-e8-e10)-h-f-j-g[num=1](e1-g9)-j-j-g[num=3](e1-g10)-h-i,,辽圣宗开泰九年,1057后,密檐塔,8角形,13,44.45,2013年第七批全国重点文物保护单位,寺院标志,一般旷野,寺庙主塔,广胜寺,广胜寺塔（又名嘉福寺塔）为八角实心十三层密檐砖塔...于2013年曾进行修缮。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
农安塔,observed_structured_record,吉林省,长春市,农安县,东京道,黄龙府,,,,a-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e16/e8)(e16/e8)-i,辽圣宗,辽圣宗时期,983-1031,密檐塔,8角形,13,44.0,全国重点文物保护单位,风水镇物,田园,古城地标,崇庆寺(已毁),农安塔位于吉林省长春市农安县（辽代黄龙府）。该塔为军事重镇主寺崇庆寺（已毁）之地标，曾在近代受损严重，塔身几乎被掏空，后经抢救性重修。,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True
照塔,observed_structured_record,河北省,涿州市,刁窝乡,南京道,良乡,,116.089872,39.493903,r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-b-m-d[type=d1]-e[col=e1](e8)(e11)-f-h-b-g[num=2](e1-g12)-b-h-i,辽,辽代,辽代,密檐塔,8角形,6,18.83,2013年被列为第七批全国重点文物保护单位,寺院标志,田园,,云居寺,永安寺塔（又名塔儿照塔）为八角残存六层空心密檐式砖塔...每面转角处镶经幢塔一座。,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
云居寺老虎塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-h-r-b-h-r-b-h-r-b-h-b-g[num=1](e1-g12)-r-b-e[col=e1](e8)(e11)-f-h-r-b-h-b-i,辽,辽代,辽代,密檐塔,4角形,7,5.0,北京市文物保护单位,高僧墓塔,一般旷野,,云居寺,云居寺老虎塔为四角七层密檐式石塔，位于北京市房山区云居寺附近山中。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
玉皇塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e1](e8)-r-b-h-b-i,辽,辽代中期,1050-1100,楼阁式塔,8角形,3,15.0,北京市文物保护单位,供奉佛像,一般旷野,单体,玉皇庙(原为佛寺),玉皇塔位于北京市房山区山中，原属佛寺，现为玉皇庙。塔基须弥座束腰较短，首层设假门，以上各层有仿木斗栱与平座。,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
刘师民塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-m-d[type=d1]-h-b-m-d[type=d1]-h-b-m-d[type=d1]-e[col=e1](e8)(e11)-i,辽,辽代,1100s,密檐塔,6角形,3,6.0,区级文物保护单位,僧人墓塔,一般旷野,,无(墓塔),刘师民塔为六角三层密檐式砖塔，位于北京市房山区良乡，为僧人刘师民之墓塔。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
鞭塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-b-m-d[type=d1]-e[col=e1](e8)(e11)-i,辽,辽代,辽代,密檐塔,6角形,7,8.0,区级文物保护单位,寺院标志,一般旷野,,云居寺,鞭塔为六角七层密檐式砖塔，位于北京市房山区良乡云居寺附近。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
