塔名,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,塔类型,平面形状,层数,修建目的,环境类型
云居寺南塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,115.767278,39.608819,a-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-m-d[type=d1]-e[col=e1](e8)(e11)-f-k-k-d[type=d1]-k-h-b-g[num=2](e1-g12)-i,,密檐塔,8角形,11,寺院标志,田园
忏悔正慧大师灵塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-e()-f-h-b-h-b-h-f-i,辽,密檐塔,4角形,5,高僧墓塔,田园
琬公塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-e[col=e1]-b-h-f-h-b-h-f-i,辽,密檐塔,8角形,3,寺院标志,一般旷野
忏悔上人坟塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-h-b-h-b-e[col=e1](e8)(e11)-b-h-b-h-b-i,辽,经幢式,8角形,2,僧人墓塔,田园
上方山亭阁式塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-d[type=d1]-e[col=e1](e8)(e11)-h-b-g[num=1](g7-g9)-b-i,辽,亭阁式,4角形,1,供奉佛像,一般旷野
昊天塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,116.147972,39.733575,a-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-b-d[type=d1]-g[num=4](g7-g10)-b-g[num=4](g7-g10)-i,辽,楼阁式塔,8角形,5,风水镇物,田园
天宁寺塔,北京市,北京市,西城区,南京道,,,116.339722,39.893611,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e2](e10-e10-e10/e18-e8-e18)(e6-e6/e18-e8-e18)-f-k-k-d[type=d1]-g[num=5](g6-g9)-h-g[num=6](g6-g9)-i,,密檐塔,8角形,13,寺院标志,水域周边
法均和尚墓塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-e[col=e1](e12/e8)(e12/e11)-f-k-k-d[type=d1]-h-g[num=2](e1-g9)-b-b-g[num=2](e1-g9)-i,辽,密檐塔,8角形,7,高僧墓葬,田园
法均和尚衣钵塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-m-d[type=d1]-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-b-b-h-b-i,辽,密檐塔,8角形,5,高僧墓葬,田园
天成寺塔,天津市,天津市,蓟州区,南京道,易州,涞水县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-f-g[num=1](3)-h-i,辽,密檐塔,8角形,13,寺院标志,水域周边
圣塔院塔,河北省,保定市,易县,南京道,易州,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-h-k-k-d[type=d1]-g[num=2](e1-g12)-b-h-b-h-i,辽,密檐塔,8角形,13,寺院标志,水域周边
天宫寺塔,河北省,唐山市,丰润区,南京道,平州,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e2](e8)-f-h-k-k-h-d[type=d1]-g[num=2](e1-g12)-b-i,,密檐塔,8角形,13,寺院标志,水域周边
西岗塔,河北省,保定市,涞水县,南京道,易州,涞水县,,,a-m-d[type=d1]-e[col=e1](e8)-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-b-f-k-k-d[type=d1]-g[num=3](g1-g9)-i,辽,密檐塔,8角形,13,风水镇物,水域周边
南安寺塔,河北省,张家口市,蔚县,南京道,蔚州,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-c-e[col=e1](e1-e8)-b-k-b-i,重熙,密檐塔,8角形,13,供奉舍利,田园
兴文塔,河北省,保定市,涞源县,南京道,蔚州,飞狐县,,,a-m-d[type=d1]-e[col=e1](e8)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8-e10)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8)(e11)-i,辽,楼阁式塔,8角形,5,寺院标志,水域周边
智度寺塔,河北省,保定市,涿州市,南京道,涿州,,,,a-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-h-d[type=d1]-g[num=5](e1-g12)-i,辽,密檐/楼阁混合,8角形,5,供奉佛像,水域周边
云居寺塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,115.767278,39.608819,a-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-f-k-k-d[type=d1]-g[num=5](e1-g12)-i,天庆,花塔,8角形,2,风水镇物,田园
伍侯塔,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-m-d[type=d1]-h-f-c-m-d[type=d1]-h-f-c-m-d[type=d1]-h-f-c-m-d[type=d1]-h-f-c-m-d[type=d1]-e[col=e1](e11-e8-e11)(e11)-k-b-g[num=6](g5-g10)-b-k-b-k-b-h-i,辽,楼阁式塔,8角形,4,风水镇物,一般旷野
佛真猞猁迤逻尼塔,河北省,张家口市,宣化县,西京道,,,,,a-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-c-m-d[type=d1]-e[col=e1](e11/e8)(e11)-i,辽,密檐塔,8角形,13,高僧墓葬,水域周边
双塔庵北塔,河北省,保定市,易县,南京道,易州,,,,a-h-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-m-d[type=d1]-e[col=e3](e8)(e8)-f-k-k-d[type=d1]-g[num=2](e1-g10)-i,辽,密檐塔,8角形,13,寺院标志,水域周边
万部华严经塔,内蒙古自治区,呼和浩特市,赛罕区,西京道,丰州,,111.880125,40.836814,a-m-d[type=d1]-e[col=e1](e11/e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e11/e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e11/e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e2](e18-e8-e18)(e18-e11-e8)-d[type=d1]-h-c-m-d[type=d1]-e[col=e2](e11/e18-e8-e18)(e18-e11-e18)-f-h-k-k-d[type=d1]-g[num=4](e1-g12)-b-g[num=4](e1-g12)-h-i,辽圣宗,楼阁式塔,8角形,7,珍藏经卷,古城遗址
辽释迦佛舍利塔,内蒙古自治区,赤峰市,巴林右旗,上京道,庆州,,118.513519,44.202239,a-m-d[type=d1]-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-d[type=d1]-e[col=e1](e18)(e8)(e18)(e15)(e6/e15)(e6-e9-e6/e11)(e6/e15)-f-h-b-h-g[num=6](e1-g12)-b-h-i,,楼阁式塔,8角形,7,皇家功德,古城遗址
海城金塔,辽宁省,鞍山市,海城市,东京道,海州,,122.896794,40.725194,,辽,密檐塔,8角形,13,风水镇物,田园
崇寿寺塔,辽宁省,铁岭市,开原市,东京道,咸州,,,,,辽,密檐塔,8角形,13,寺院标志,一般旷野
